==== seconds | celcius ====
time, temp_ch0, temp_ch1, temp_ch2, temp_ch3
0.0,0.0,26.37,0.0,0.0
0.24,0.0,26.37,0.0,0.0
0.81,0.0,26.37,0.0,0.0
1.84,0.0,26.37,0.0,0.0
2.86,0.0,26.37,0.0,0.0
3.93,0.0,26.37,0.0,0.0
4.98,0.0,26.37,0.0,0.0
6.03,0.0,26.37,0.0,0.0
7.04,0.0,26.37,0.0,0.0
8.11,0.0,26.37,0.0,0.0
9.13,0.0,26.37,0.0,0.0
10.2,0.0,26.37,0.0,0.0
11.25,0.0,26.37,0.0,0.0
12.29,0.0,26.37,0.0,0.0
13.36,0.0,26.37,0.0,0.0
14.37,0.0,26.37,0.0,0.0
15.44,0.0,26.37,0.0,0.0
16.47,0.0,26.37,0.0,0.0
17.56,0.0,26.37,0.0,0.0
18.59,0.0,26.37,0.0,0.0
19.62,0.0,26.37,0.0,0.0
20.64,0.0,26.37,0.0,0.0
21.71,0.0,26.37,0.0,0.0
22.76,0.0,26.37,0.0,0.0
23.81,0.0,26.37,0.0,0.0
24.85,0.0,26.37,0.0,0.0
25.88,0.0,26.37,0.0,0.0
26.94,0.0,26.37,0.0,0.0
27.97,0.0,26.37,0.0,0.0
29.03,0.0,26.37,0.0,0.0
30.07,0.0,26.37,0.0,0.0
31.12,0.0,26.37,0.0,0.0
32.17,0.0,26.37,0.0,0.0
33.19,0.0,26.37,0.0,0.0
34.26,0.0,26.37,0.0,0.0
35.34,0.0,26.37,0.0,0.0
36.34,0.0,26.37,0.0,0.0
37.39,0.0,26.37,0.0,0.0
38.48,0.0,26.37,0.0,0.0
39.48,0.0,26.37,0.0,0.0
40.54,0.0,26.37,0.0,0.0
41.57,0.0,26.37,0.0,0.0
